symbol,log2FC_FvsM_Human,Sex,log2FC_FvsM_Mouse,symbol_Mouse
ADGRF5,2.12847746627086,F,2.14778224297309,Adgrf5
ANGPTL4,-4.84880245722906,M,-2.36698144987435,Angptl4
AOC1,2.0534267610096,F,3.09731964500755,Aoc1
ATP5F1E,-2.58576805139526,M,-1.80486111242972,Atp5e
BHMT,1.89909861461831,F,4.14348862184099,Bhmt
CADPS2,1.4467833212909,F,3.08597695849962,Cadps2
CFAP299,2.59152033846054,F,2.72037700052124,Cfap299
CHST11,-3.20657572580854,M,-9.69211443894478,Chst11
CMYA5,1.22553045403693,F,2.51099854635109,Cmya5
CORO2A,-4.57580953547426,M,-5.27771978633937,Coro2a
CYP4A22,-3.38393380199821,M,-5.42484756029275,Cyp4a12a
DDX3Y,-6.17073055211642,M,-10.0342765526139,Ddx3y
ERBB4,1.69418629094533,F,3.4961490203775,Erbb4
EXPH5,1.87873455678946,F,2.38998314538972,Exph5
FKBP5,-2.11645519636689,M,-2.07770710296855,Fkbp5
GPAT3,2.84527427817896,F,4.19733806744732,Gpat3
GRHL2,2.29840246771317,F,4.80395944929825,Grhl2
GRIA4,-2.99507162061483,M,-2.74430739958936,Gria4
ICA1,1.63873462906321,F,2.52270840498056,Ica1
KDM5D,-6.76634029703708,M,-10.2821396614665,Kdm5d
KLHL3,2.68997292557852,F,2.74652943714666,Klhl3
LIPC,4.13327427707608,F,2.4830925497812,Lipc
MEIS2,3.22801313982178,F,1.74336405331977,Meis2
NPAS3,1.57912513992506,F,3.35592130931609,Npas3
NR1D1,-2.96427967464899,M,-2.92153109841505,Nr1d1
NR1H2,-1.96626562489449,M,-2.26046074239187,Nr1h2
NTN4,2.26953804664832,F,2.06790078585832,Ntn4
PIK3C2G,1.81957605167974,F,3.74333815842821,Pik3c2g
PODXL,2.49104754565557,F,2.20760640290115,Podxl
SERPINA1,-2.21321388343793,M,-2.27859547379624,Serpina1d
SERPINF2,-1.76935010957386,M,-3.33504283546496,Serpinf2
SIM1,2.90608504493441,F,2.66661277600865,Sim1
SLIT3,6.70778946457138,F,4.811446913828,Slit3
SNTB1,1.96357053959517,F,2.76658011004671,Sntb1
SORCS1,-2.17425315369578,M,-3.26046074239187,Sorcs1
TSIX,7.18116027416655,F,11.0671742304977,Tsix
UTY,-9.64898334639892,M,-11.8599697581955,Uty
XIST,12.3709848330466,F,9.47174844952959,Xist
