symbol,16_f1_4wk_TTTCAGA,17_f2_4wk_TGTGCCA,18_f3_4wk_TATCTTA,19_f4_4wk_CTTGGAA,20_f5_4wk_CTCAATG,11_m1_4wk_TCCGGGA,12_m2_4wk_TACTCTA,13_m3_4wk_TTTTCGG,14_m4_4wk_GAGTACG,15_m5_4wk_TGCCCAT
Arntl,-2.65224244579304,-2.18322458728439,-0.86658117931114,-0.217091105308984,-0.0174127697228081,0.929612487449051,-0.260450910797515,3.54600254168758,-0.0817349540239245,1.0209881643571
Cebpa,0.363281379933124,0.090158633757222,1.21570664833638,-0.109951744525842,-0.622799028461639,-0.464648827145472,0.809395990105794,1.46810169466212,-2.02492930045872,0.619904592379574
Creb1,0.399933159981476,-0.673930221183468,-0.236573276100429,0.605504960329173,-0.746179098232661,-0.369589744994157,0.550575070355235,1.69918912207051,0.0455698964734356,-1.17155048027132
E2f1,-0.97325829258063,0.449182751516803,-1.01385848406078,-3.0578013946245,0.509056021703415,-1.15737628509031,0.33351114424415,3.45002464873917,1.10874246800115,0.257410099377233
E2f2,-1.13868966808072,0.382800729519464,-0.838898379624132,-3.82880846741829,-0.446205683645202,-0.335008748572199,1.37444111165797,3.21821273203582,1.02637860315989,0.764612257140713
E2f4,-0.930579334004215,1.14570086500272,-0.619892734929646,-3.04652095358032,0.235628730224483,-0.580451454695109,1.08731624736215,2.922245400038,0.153443463090153,-0.339756052239464
Egr1,0.472593241375819,0.284717755526412,2.1576035804819,0.517280491175794,-0.236424527499874,-0.0770587043025881,-0.409435994087142,-0.558764604577333,-1.4351897899177,0.364155111264089
Esr1,0.82519627421804,0.099379310992132,1.20923994379319,0.332783173961291,0.159045268248844,-0.587329444669774,-0.240858799002459,-0.20481520599977,-0.353728612071093,0.0825795604532202
Ets1,0.776452242009134,-0.423354309345659,1.17865146140797,-0.509321424533349,0.814335235628999,-0.347904805485588,0.953977827520637,-0.916745187182711,-0.294682990703321,0.565575061313549
Foxo1,1.37767264424522,-1.09114261219967,1.68450817969105,1.59070396404163,0.0495663529592565,-0.252907831736705,-1.44347646512059,-0.662590134464331,-1.40433920919168,-0.0924116819108941
Hif1a,1.23579603499402,0.578336730219797,1.63689373178099,0.696022508916138,0.769738406307131,-1.20117985359404,0.410087465019129,-0.327376684469255,-1.91592519392297,-0.504544309529395
Hnf1a,0.299163873456335,0.673471900177045,0.64083920324689,0.124122316266324,1.03939447615398,-1.69151584604722,-0.109955447222868,-0.678677342980525,0.226225574949414,-0.359009444370347
Hnf4a,-0.0377329550732182,-0.987863017227665,1.64067740920991,0.0212146392703816,-0.886970681217558,-0.880267629256934,0.879066411390352,0.777799132847266,-0.211763067000562,1.33426262047693
Jun,0.502959261083337,-0.625853372213448,0.983929245618717,0.858459153710162,-0.85266923912042,-0.938129928029485,-0.847177287718624,1.01382873104757,0.0979337795543717,0.840545489899788
Myc,-0.942761811168998,-0.736751837225233,0.491300771884366,0.403192309625329,-0.0180673036451336,-0.0250872613767304,1.08564743358062,-0.118618402295535,0.18938808174752,1.43709765964024
Nfkb1,0.0723458082290969,-0.893224350349472,0.844566421596516,0.0717559842578128,-0.66320976215945,-0.639387164414929,0.548880828941859,0.406750144684381,-0.393021429348258,0.734418991931822
Ppara,-1.03274192705922,-2.51806955886044,-0.301214296936049,-0.295903671153896,-1.63142259764602,0.545163951438547,-0.83206807132581,1.34605626122204,2.14642155734853,1.75190748491281
Pparg,-1.28438096953079,-1.4644968110342,-0.653213933030165,-0.29321711181162,-2.16266814998582,0.0216366195913782,3.21488495634345,2.08442202961875,1.12359229526817,0.904047087900128
Prdm14,1.60547297062152,1.8199625843213,1.88078442414649,1.09240159609234,0.326515239091972,-1.340680567384,0.138366567514742,-0.601546637445994,-1.92655726301811,-2.33250528927885
Rela,-0.175088404455806,-0.975183391801485,1.09072404099661,-0.150629947923267,-0.587335334510165,-1.17075760708444,0.419326235402139,1.6668565273136,-0.0441210679493284,-0.158815809718399
Sox2,1.82001994166605,0.104091546322734,0.35899528939577,1.02208442821703,-0.830970219185668,0.756154124149288,0.197109215821376,-0.360251405114405,-2.32927937746488,-0.838622991240093
Sp1,0.566845698579895,-0.418184887082451,1.35538651216882,-0.155374292771638,0.256754388667821,-0.0636331585315838,-0.63913292532465,0.679700974780878,-1.00525220638085,1.09811118054812
Stat1,0.517309923358664,0.453782222924068,0.647587746894248,-0.381324463044315,1.14241394786649,-0.660955941259082,-0.915126123475511,-0.168991553276967,1.17179562191708,0.807515173841011
Trp53,0.301303802606418,-0.919859615032197,-0.698443258552928,0.404728912837471,-0.894307739710278,1.73410734206548,1.16035928531272,-1.32750293040504,0.331588881483487,0.285608347207116
Usf1,0.930906361026539,-0.529703309043821,0.319414744273158,0.506989575367032,0.774174999484108,-0.448236914571627,1.09334510380157,-0.41616399596548,-0.703506491653938,-0.291890410616499
